YouTube Time,Time (s),Speed (mph)
9:04,0,0
9:05,1,19
9:06,2,24
9:07,3,33
9:08,4,31
9:09,5,28
9:10,6,28
9:11,7,30
9:12,8,34
9:13,9,43
9:14,10,49
9:15,11,51
9:16,12,52
9:17,13,51
9:18,14,42
9:19,15,43
9:20,16,38
9:21,17,36
9:22,18,44
9:23,19,36
9:24,20,31
9:25,21,30
9:26,22,34
9:27,23,41
9:28,24,49
9:29,25,51
9:30,26,48
9:31,27,29
9:32,28,22
9:33,29,34
9:34,30,37
9:35,31,27
9:36,32,25
9:37,33,29
9:38,34,26
9:39,35,21
9:40,36,29
9:41,37,41
9:42,38,41
9:43,39,36
9:44,40,31
9:45,41,30
9:46,42,42
9:47,43,49
9:48,44,50
9:49,45,51
9:50,46,35
9:51,47,27
9:52,48,32
9:53,49,45
9:54,50,36
9:55,51,27
9:56,52,30
9:57,53,27
9:58,54,34
9:59,55,34
10:00,56,26
10:01,57,26
10:02,58,25
10:03,59,27
10:04,60,30
10:05,61,29
10:06,62,28
10:07,63,26
10:08,64,22
10:09,65,23
10:10,66,26
10:11,67,0
,,
,,
,,
,,
,,
,,
,,
